actor,classify,count,director,image,image_url,inq,last_updated,play,score,title1,title2,title3
薛景求Kyung-guSol/严志媛Ji-wonUhm...,2013/韩国/剧情,234167人评价,李濬益Jun-ikLee,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,,,9.1,素媛,소원,/许愿/希望：为爱重生(台)
乔纳森·泰勒·托马...,1994/美国/剧情动画冒险歌舞家庭,342290人评价,RogerAllers/罗伯·明可夫RobMinkoff,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,动物版《哈姆雷特》。,,[可播放],8.9,狮子王,TheLionKing,/狮子王3D
罗伯特·德尼罗RobertDeNiro...,1984/意大利美国/犯罪剧情,207602人评价,赛尔乔·莱翁内SergioLeone,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,往事如烟，无处祭奠。,,,9.1,美国往事,OnceUponaTimeinAmerica,/四海兄弟(台)/义薄云天(港)
艾德里安·布洛迪AdrienBrod...,2002/法国德国英国波兰/剧情传记历史战争音乐,240120人评价,罗曼·波兰斯基RomanPolanski,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,音乐能化解仇恨。,,[可播放],9.1,钢琴家,ThePianist,/战地琴声(台)/战地琴人
AmirFarrokhHashemian/默罕...,1997/伊朗/剧情家庭儿童,172591人评价,马基德·马基迪MajidMajidi,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,奔跑的孩子是天使。,,[可播放],9.2,小鞋子,بچههایآسمان,/天堂的孩子/小童鞋
摩根·弗里曼MorganFreeman/布...,1995/美国/剧情犯罪悬疑惊悚,503644人评价,大卫·芬奇DavidFincher,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,警察抓小偷，老鼠玩死猫。,,[可播放],8.8,七宗罪,Se7en,/火线追缉令(台)/7宗罪
中谷美纪MikiNakatani/瑛太E...,2006/日本/剧情歌舞,359346人评价,中岛哲也TetsuyaNakashima,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,以戏谑来戏谑戏谑。,,[可播放],8.9,被嫌弃的松子的一生,嫌われ松子の一生,/花样奇缘(港)/令人讨厌的松子的一生(台)
休·杰克曼HughJackman...,2006/美国英国/剧情悬疑惊悚,410267人评价,克里斯托弗·诺兰ChristopherNolan,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,孪生蝙蝠侠大战克隆金刚狼。,,[可播放],8.8,致命魔术,ThePrestige,/顶尖对决(台)/死亡魔法(港)
奥黛丽·塔图AudreyTau...,2001/法国德国/喜剧爱情,561620人评价,让-皮埃尔·热内Jean-PierreJeunet,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,法式小清新。 ,,[可播放],8.7,天使爱美丽,Lefabuleuxdestind'AméliePoulain,/艾蜜莉的异想世界(台)/天使艾米莉
凯特·布兰切特CateBlanchett/...,2008/美国/剧情爱情奇幻,466811人评价,大卫·芬奇DavidFincher,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,在时间之河里感受溺水之苦。,,[可播放],8.8,本杰明·巴顿奇事,TheCuriousCaseofBenjaminButton,/奇幻逆缘(港)/返老还童
莫妮卡·贝鲁奇Monica...,2000/意大利美国/剧情战争情色,432220人评价,朱塞佩·托纳多雷GiuseppeTornatore,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,美丽无罪。,,[可播放],8.8,西西里的美丽传说,Malèna,/真爱伴我行(台)/玛莲娜
,,341488人评价,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,视觉革命。,,[可播放],8.9,黑客帝国,TheMatrix,/廿二世纪杀人网络(港)/骇客任务(台)
姜文WenJiang/葛优YouGe/周润发Yun-F...,2010/中国大陆香港/剧情喜剧动作西部,758262人评价,姜文WenJiang,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,你给我翻译翻译，神马叫做TMD的惊喜。,,[可播放],8.7,让子弹飞,None,/让子弹飞一会儿/火烧云
朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...,1965/美国/剧情传记爱情歌舞,274606人评价,RobertWise,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,用音乐化解仇恨，让歌声串起美好。,,[可播放],8.9,音乐之声,TheSoundofMusic,/仙乐飘飘处处闻(港)/真善美(台)
汤姆·汉克斯TomHanks...,1998/美国/剧情历史战争,292220人评价,史蒂文·斯皮尔伯格StevenSpielberg,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,美利坚精神输出大片No1.,,[可播放],8.9,拯救大兵瑞恩,SavingPrivateRyan,/雷霆救兵(港)/抢救雷恩大兵(台)
马里奥·卡萨斯MarioCasas/阿...,2016/西班牙/剧情犯罪悬疑惊悚,452812人评价,奥里奥尔·保罗OriolPaulo,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,你以为你以为的就是你以为的。,,[可播放],8.7,看不见的客人,Contratiempo,/佈局(台)/死无对证(港)
约翰·特拉沃尔塔JohnTra...,1994/美国/剧情喜剧犯罪,401325人评价,昆汀·塔伦蒂诺QuentinTarantino,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,故事的高级讲法。,,[可播放],8.8,低俗小说,PulpFiction,/黑色追緝令(台)/危险人物(港)
梅尔·吉布森MelGibson/苏菲·玛...,1995/美国/动作传记剧情历史战争,336969人评价,梅尔·吉布森MelGibson,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,史诗大片的典范。,,[可播放],8.8,勇敢的心,Braveheart,/惊世未了缘(港)/梅尔吉勃逊之英雄本色(台)
尊龙JohnLone/陈...,1987/英国意大利中国大陆法国美国/剧情传记历史,226461人评价,贝纳尔多·贝托鲁奇BernardoBertolucci,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,,[可播放],9.0,末代皇帝,TheLastEmperor,/末代皇帝溥仪(港)
约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...,1990/美国/剧情奇幻爱情,567609人评价,TimBurton,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,浪漫忧郁的成人童话。,,[可播放],8.7,剪刀手爱德华,EdwardScissorhands,/幻海奇缘(港)/剪刀手爱德华
朱迪·福斯特JodieFoster/安...,1991/美国/剧情犯罪惊悚,412043人评价,乔纳森·戴米JonathanDemme,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,安东尼·霍普金斯的顶级表演。,,,8.8,沉默的羔羊,TheSilenceoftheLambs,/沉默的羔羊
邱岳峰YuefengQiu/...,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,131007人评价,万籁鸣LaimingWan/唐澄ChengTang,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,经典之作，历久弥新。,,[可播放],9.3,大闹天宫,None,/大闹天宫上下集/TheMonkeyKing
,,450850人评价,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,人的命运被自己瞬间的抉择改变。,,[可播放],8.7,蝴蝶效应,TheButterflyEffect,/蝴蝶效应
张国荣LeslieCheung/梁朝伟TonyLeu...,1997/香港日本韩国/剧情爱情同性,295891人评价,王家卫KarWaiWong,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,爱情纠缠，男女一致。,,,8.8,春光乍泄,春光乍洩,/一起快乐/HappyTogether
本木雅弘MasahiroMotoki/...,2008/日本/剧情,356614人评价,泷田洋二郎YôjirôTakita,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,,,8.8,入殓师,おくりびと,/礼仪师之奏鸣曲(港)/礼仪师(台)
马特·达蒙MattDamon/罗宾·...,1997/美国/剧情,326399人评价,格斯·范·桑特GusVanSant,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,人生中应该拥有这样的一段豁然开朗。,,[可播放],8.8,心灵捕手,GoodWillHunting,/骄阳似我(港)/心灵捕手
DanielRadcliffe/EmmaWatson/RupertGrint,2001/美国英国/奇幻冒险,330937人评价,ChrisColumbus,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,童话世界的开端。,,[可播放],8.8,哈利·波特与魔法石,HarryPotterandtheSorcerer'sStone,/哈利波特1：神秘的魔法石(港/台)
托妮·科莱特ToniCollette/菲利...,2009/澳大利亚/剧情动画,258974人评价,亚当·艾略特AdamElliot,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,你是我最好的朋友，你是我唯一的朋友 。,,[可播放],8.9,玛丽和马克思,MaryandMax,/巧克力情缘(台)/同是天涯寂寞客
拉尔夫·费因斯RalphFiennes/...,2014/美国德国英国/剧情喜剧冒险,390490人评价,韦斯·安德森WesAnderson,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,小清新的故事里注入了大历史的情怀。,,[可播放],8.8,布达佩斯大饭店,TheGrandBudapestHotel,/布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台)
夏雨YuXia/宁静JingNing/陶虹HongTao,1994/中国大陆香港/剧情,321626人评价,姜文WenJiang,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,一场华丽的意淫。,,,8.8,阳光灿烂的日子,None,/IntheHeatoftheSun
莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,2010/美国/剧情悬疑惊悚,430634人评价,MartinScorsese,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,昔日翩翩少年，今日大腹便便。,,[可播放],8.7,禁闭岛,ShutterIsland,/不赦岛(港)/隔离岛(台)
